"createdAt","body"
"2022-11-02 11:23:34.462619+00","It seems to work:  ``` iex(8)> %Ecto.Changeset{} |> Ecto.Changeset.add_error(:description, ""Description cannot be nil"") |> Ecto.Changeset.add_error(:description, ""Description cannot be something"") #Ecto.Changeset<   action: nil,   changes: %{},   errors: [     description: {""Description cannot be something"", []},     description: {""Description cannot be nil"", []}   ],   data: nil,   valid?: false > ```"
"2022-11-02 11:37:27.480117+00","@MatheusBeniniF is this a required change?"
"2022-11-02 11:46:45.616452+00","Yes – what's our pattern for this?"
"2022-11-02 11:55:11.975631+00","Alright, please can you update the ticket description with the clearly expected requirements so we can be sure of the acceptance criteria? @IceCreamYou "
"2022-11-02 11:58:14.558798+00","Added this to help debugging"
"2022-11-02 12:04:14.607684+00","I took https://sourcegraph.com/github.com/sourcegraph/sourcegraph/-/blob/client/web/src/enterprise/batches/BatchSpecsPage.tsx?L98&subtree=true as an example, it was pretty easy to use, actually.  I can change it to `useConnection` as a next iteration (so that I don't use deprecated stuff) if it is fine."
"2022-11-02 12:04:27.978157+00","Thanks, will fix that!"
"2022-11-02 12:03:53.836489+00","role here is an atom with the  following values `[:admin, :user, :internal]` So we can add a type spec in the `ClientUser` model as follows:   `@type roles :: :admin | :user | :internal` Then we can say `ClientUser.roles()`  "
"2022-11-02 12:05:00.651422+00","not really, will delete"
"2022-11-02 12:05:41.616277+00","that's so much better, thanks!"
"2022-11-02 12:22:53.022197+00","```suggestion   const publicEventTypes = eventTypes?.filter((evt) => !evt.hidden); ```"
"2022-11-02 12:22:54.037464+00","```suggestion                   {!isEmbed && !!publicEventTypes?.length && ( ```"
"2022-11-02 12:52:25.279221+00","it is not, probably this change appeared in a merge with main"
"2022-11-02 13:26:43.496942+00","Probably the directory itself can be added as well?  ```suggestion 			canReadAll: []string{""dir/file.java"", ""dir/""}, ```"
"2022-11-02 13:38:33.781116+00","I believe this represents all roles, lets use `Object.keys(EnvelopeRecipientRoleEnum)`"
"2022-11-02 13:38:33.831592+00","The errorr enum does not match the error message ```suggestion throw new NotFoundError(ErrorEnums.ENVELOPE_RECIPIENT_NOT_FOUND, 'Envelope recipient not found'); ```"
"2022-11-02 13:38:33.819929+00","Organize imports alphabetically i.e. from A-Z"
"2022-11-02 13:38:35.611416+00","Should have an await Add `.lean()` as well"
"2022-11-02 13:38:35.609438+00","If this represents all roles use `Object.keys()`"
"2022-11-02 15:38:47.350227+00","Move to correct section"
"2022-11-02 13:38:35.67029+00","return directly"
"2022-11-02 13:38:35.715772+00","@usmailaabdoul , use clients suggestion above ```suggestion return [ ...recipientsWithoutKyc, ...recipientsWithKyc ] ```"
"2022-11-02 13:38:37.631979+00","Same here"
"2022-11-02 14:13:12.41745+00","remove this and stop adding them"
"2022-11-02 13:38:37.178863+00","Nuke this validation, not sure why we are adding this"
"2022-11-02 13:38:37.615911+00","Should have an await, and space before this return ```suggestion  return await EnvelopeRecipient.findOneAndUpdate( ```"
"2022-11-02 13:42:26.273804+00","Is this not a recursive call, or is there work outstanding here?"
"2022-11-02 13:44:29.780496+00","```suggestion 	return s.store.ProcessStaleSourcedCommits(ctx, minimumTimeSinceLastCheck, commitResolverBatchSize, commitResolverMaximumCommitLag, shouldDelete) ```  WOW good catch"
"2022-11-02 13:50:10.337174+00","@sheldon-welinga this is required to validate the field the user is trying to update not all fields should be updated"
"2022-11-02 13:57:46.429098+00","@sheldon-welinga we can't return and await at thesame time"
"2022-11-02 14:08:57.214497+00","`debugger`! "
"2022-11-02 14:09:09.605927+00","```suggestion 		logger.Error(""Invalid UPDATE_CHECK_BASE_URL. Using default url"", log.String(""UPDATE_CHECK_BASE_URL"", base), log.String(""defaultURL"", defaultUpdateCheckBaseURL)) ```"
"2022-11-02 14:09:16.85827+00","```suggestion Setting the `UPDATE_CHECK_BASE_URL` to the value provided by Sourcegraph support on the `frontend` application manifest will ensure that  ```"
"2022-11-02 14:12:54.370336+00","remove this"
"2022-11-02 14:22:37.878774+00","I think we are destructuring what we need to update and creating a new object out of it, no need for this"
"2022-11-02 14:25:12.54653+00","It's fine to be nitpicky! I appreciate it 🙏 This is not super polished since I wanted to get some feedback on whether everyone was okay with this approach before I spent too much time on it. "
"2022-11-02 14:27:19.876611+00","@charlottemeng  isn't part of the audit to check for .YML and looker uses?  I'm wondering if this should be T4 (unsupported) until we determine otherwise. The logic (but not this view) is being used, but you could also check for looker views, and then if those are being used in the content checker"
"2022-11-02 14:27:38.962506+00","but we need to throw an error right?"
"2022-11-02 14:28:42.726315+00","Honestly this is only being used for this test, to check the list of authz providers that the frontend is using. I'll mark the query as internal as @mrnugget suggested to clarify that. If we need to provide more details about the providers in the list (i.e. the url, etc) we can add that if and when we need it. "
"2022-11-02 14:29:25.254392+00","V good point, I'll check if it's in Looker and demote to T4 when I confirm it's not being used?"
"2022-11-02 14:33:07.239126+00","Ok, just return directly then"
"2022-11-02 14:33:25.99379+00","So, that permissions sync will be using a different list of authz providers (in theory the same, just initialized/kept up to date in a different place in the code). I haven't run into that causing any flakiness in the tests.   Wrt the backoff strategy, I was just using the pattern from the other gql tests. I'm not sure if there are any problems or flakiness that would arise if we switched to exponential backoff, but it's maybe worth exploring at some point."
"2022-11-02 14:34:40.446854+00","I found your bug, wrap it in a try-catch, its the reason for the complain"
"2022-11-02 14:56:50.09878+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion ``` "
"2022-11-02 15:13:41.970433+00","Revert this line, this file should only deal with EnvelopDocument and not EnvelopeDocumentVersion"
"2022-11-02 14:34:47.145927+00","@usmailaabdoul "
"2022-11-02 14:34:55.998953+00","I don't think we want to continue retrying if there's an error fetching the authz providers. But you're right, we should wrap the error for more context."
"2022-11-02 14:41:12.935248+00","You can reference below ![image](https://user-images.githubusercontent.com/59791219/199519213-a67c7e36-69aa-46cd-9a43-8197435009cf.png) "
"2022-11-02 14:48:22.871412+00","mmmmm I'm wondering about this one.  In Glob terms, you can technically specify something like `/**/**/**/*.java` and it would still match Java files at the root. However, just trimming once would fail to catch that case.  But, in terms of Perforce rules, I'm not sure if Perforce allows a rule like `//depot/main/.../.../.../*.java` or whatever. If it does, then those would be edge cases we can't catch. If it does not, then maybe we don't have to care? Even though it's technically still wrong.  What we can do to get around this is to do the trimming in a loop until all the double stars are gone?"
"2022-11-02 14:50:40.122937+00","I was thinking about this (generally I 1000% agree) but I wasn't sure what I'd be testing for, exactly. It's basically just returning a list and there's really no functionality within this function itself since it's basically just a wrapper around `authz.GetProviders()`. But I'm never gonna say no to adding more tests, so I'll go ahead and add one 😂 😅 "
"2022-11-02 14:53:47.322512+00","You can just validate the fields that need to be updated, we do nothing otherwise I guess, Just like how we are doing it on create. Tried checking the codebase, there is no validation for unwanted fields in any method I have seen, unless you have one"
"2022-11-02 14:53:54.439362+00","want to go ahead and commit this?"
"2022-11-02 14:56:49.182173+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion             ORDER BY order_tasks.task_created_at) AS previous_task_type ``` "
"2022-11-02 14:56:49.515539+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     WHERE COALESCE(previous_task_flow_order, 99) >= task_flow_order ``` "
"2022-11-02 14:56:49.564495+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion ``` "
"2022-11-02 14:56:51.48742+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion ``` "
"2022-11-02 14:56:49.589101+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion             ORDER BY order_tasks.task_created_at) AS previous_task_flow_order ``` "
"2022-11-02 14:56:51.405109+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     , SUM(         (COALESCE(order_tasks.task_closeout_event__designreview_rejected::INT, 1) = 0)::INT     ) AS reviews__design_review_approvals ``` "
"2022-11-02 14:56:49.79205+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion                 , order_tasks.task_created_at                 , NULL)         ) IGNORE NULLS OVER ( ``` "
"2022-11-02 14:56:51.130769+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     AND COALESCE(         internaldesign__task_closeout_reason, 'force a failure for nulls'     ) = 'Completed' AS is_final_delivered_design ``` "
"2022-11-02 14:56:51.407415+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     order_tasks.order_id ASC     , flows.flow_sequence_number ASC ``` "
"2022-11-02 14:56:50.358772+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     /* description flow_sequence_number = A sequence number that shows which attempt or ""flow"" design tasks belong to. ``` "
"2022-11-02 14:56:50.379181+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion         /* if it's either of these fields, then we cast as a bool */         {% if field in ['is_active_task', 'task_assigner__is_autoassign'] %}      )[0]::INT AS designreview__{{ field | replace(""__"", ""_"") }}     {% else %}     /* otherwise we cast as a varchar */     )[0]::VARCHAR AS designreview__{{ field | replace(""__"", ""_"") }}     {% endif %} ``` "
"2022-11-02 14:56:50.497343+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion ``` "
"2022-11-02 14:56:50.688245+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion             flows.flow_start ``` "
"2022-11-02 14:56:51.306229+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion             ORDER BY order_tasks.task_created_at) AS next_design_prep_created_at  ``` "
"2022-11-02 14:56:52.044636+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     , CASE         WHEN             COUNT_IF(                 order_tasks.task_type = 'InternalDesign'             ) > 0 /* we need to make sure there was an internal design for this flow */             THEN MIN(                 IFF(                     order_tasks.task_type IN ('LabAcceptOrder', 'AcknowledgeDelivery')                     OR (                         order_tasks.task_type = 'DesignReview' AND COALESCE(                             order_tasks.task_closeout_event__designreview_rejected::INT, 1                         ) = 0                     )                     , order_tasks.task_created_at, NULL                 )             ) END AS design_delivery_confirmed_at  ``` "
"2022-11-02 14:56:52.315255+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     coalesce to an impossible number (only 1&2 are possible) so it returns true because     first task has no previous resulting in a null and then where clause excludes it ``` "
"2022-11-02 16:13:04.173282+00","no i think we actually want to make them set it now since this will eventually be mapped to the staff member, and that requires a role"
"2022-11-02 14:56:52.432817+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion                     WHEN order_tasks.task_type = 'InternalDesign' THEN 2         END AS task_flow_order ``` "
"2022-11-02 14:56:52.648453+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion      /* description is_new_design_prep = DesignPreps are attributed to all internal design attempts until there is a new one. To avoid double counting design prep units, use this flag to filter the count for only the first time the design prep was used */ ``` "
"2022-11-02 14:56:53.353582+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion ``` "
"2022-11-02 14:55:50.032473+00","@raj360 @elikeyz Please take a look at the implementation of keyboard accessibility on `EmojiMenu`, perhaps there might be some further improvements to be made.  I have also added a new demo video on the PR description to test the behavior of the `EmojiMenu` please check it out. CC: @lazymia "
"2022-11-02 14:59:06.909394+00","ok then"
"2022-11-02 15:03:20.639081+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     WHERE field = 'Assigned_Pod__c' ``` "
"2022-11-02 15:04:28.589221+00","Yeah, good point. That part of the change was a bit of a quick hack so not surprised I missed something there :) "
"2022-11-02 15:13:39.882262+00","Revert this file/ Ensure you have the latest changes"
"2022-11-02 15:13:40.124269+00","We need to add a supertest in test/routes file for the envelopes i.e. `envelopes.tests.js`"
"2022-11-02 15:13:40.290695+00","Revert"
"2022-11-02 15:13:40.380295+00","Your pipeline is vague if you are writing a filter here, please check this"
"2022-11-02 15:13:41.230797+00","Revert this file to main/merge from main"
"2022-11-02 15:13:42.179954+00","Only check if no permission, Users with Manage can also read envelope documents as they have all permissions"
"2022-11-02 15:13:42.472185+00","Nuke this, this file should not have any change I believe. Use Unauthorized operation, It already exists"
"2022-11-02 15:13:42.957413+00","Nuke ```suggestion ```"
"2022-11-02 15:08:47.435802+00","~~do you need to do a similar check here? wouldn't this get triggered twice then?~~ i am an idiot 🤦 "
"2022-11-02 15:38:40.892821+00","Organize imports and also sort from A-Z"
"2022-11-02 15:38:41.558485+00","Sort enum imports here from A-Z"
"2022-11-02 16:26:40.64683+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     , COALESCE(fcpid.fc_pid, bizible_session.visitor_id) AS full_contact_id ``` "
"2022-11-02 15:13:43.138701+00","This function should be done in`EnvelopeDocumentVersionService` not this"
"2022-11-02 15:13:43.803124+00","Follow the convention ```suggestion GET_ENVELOPES_DOCUMENTS: 'envelope.documents.get', ```"
"2022-11-02 15:13:43.943412+00","Use better names, write in full the keyword envelope"
"2022-11-02 15:13:44.753127+00","Add other metadata here e.g. envelopeId, statuses, withLatestVersion e.t.c"
"2022-11-02 15:13:45.17373+00","We should not have any filter/map, All filters should be done in the aggregate query"
"2022-11-02 15:13:47.357165+00","Use sentence case ```suggestion throw new NotFoundError(ErrorEnums.ENVELOPE_DOCUMENT_NOT_FOUND, 'Envelope document not found'); ```"
"2022-11-02 15:24:09.155926+00","I just checked and Perforce *does* allow you to save rules like `.../.../*.java`"
"2022-11-02 15:25:22.132335+00","Hmm I took it from [this file](https://sourcegraph.sourcegraph.com/search?q=context:global+documentationUrlPrefix&patternType=standard), but I'll remove both instances of it if it's not needed then"
"2022-11-02 15:32:15.289706+00","Your call in the end, not blocking here. But then again: why do it ""wrong"" when we know we need to do it ""right"" immediately after? It'll never be easier to use the non-deprecated solution than now :)"
"2022-11-02 15:38:40.523631+00","This imports should come first"
"2022-11-02 15:38:40.746324+00","Wrap in try-catch"
"2022-11-02 15:38:41.384248+00","We are not using this, delete it ```suggestion ```"
"2022-11-02 15:38:42.322041+00","Wrap in try-catch"
"2022-11-02 15:04:24.841486+00","Next steps:  - [x] Test this - [x] Un-export the three methods we use internally - [x] Inline for bulk updates, set a txn, etc. for more meaningful semantics"
"2022-11-02 15:38:41.729747+00","Also add the role, capacity, color and used to the metadata"
"2022-11-02 15:38:42.527757+00","Sort and organize imports"
"2022-11-02 15:38:42.815242+00","We don't have anything a EnvelopeModel, Its just Envelope, Revert this change"
"2022-11-02 15:38:43.781504+00","Expect specific parts of the `body.data` and not body. Also we should not have an expect like typeof, that is wrong. Target specific parts, is even better to say expect it to be defined  We can also have an expect length if its an array e.t.c, but never expect with typeof"
"2022-11-02 15:38:44.690827+00","Also expect envelopeId to match the query id"
"2022-11-02 15:38:44.741357+00","Nuke comments ```suggestion ```"
"2022-11-02 15:38:44.872694+00","Remove this space"
"2022-11-02 15:38:44.983352+00","Use async, remove done"
"2022-11-02 15:38:45.238609+00","```suggestion const StatusEnums = require('../../imports/api/enums/statusEnums ```"
"2022-11-02 15:38:45.847509+00","Don't forget the space after each category of imports. The above import should come second as its a model"
"2022-11-02 15:38:46.348445+00","Nuke the space"
"2022-11-02 15:38:46.619794+00","Sort imports A-Z"
"2022-11-02 15:38:47.759109+00","generally, organize imports and sort them A-Z"
"2022-11-02 15:38:46.711396+00","Avoid repetition of code, Have a top describe and later child describe inside"
"2022-11-02 15:38:52.622952+00","Nuke space"
"2022-11-02 15:44:21.34128+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     , flows.flow_sequence_number ASC ``` "
"2022-11-02 15:50:23.651068+00","Yes good call, adjusted in [b35babe](https://github.com/sourcegraph/sourcegraph/pull/43766/commits/b35babef92e2976a26db4b8772b56ff53ba8c39a). Since we can't do conditional hooks, I moved the logic up to the `useQueryExamples` hook & exit functions & return the static examples for dotcom. Let me know if you see any issues here! I didn't see any server call's running from that hook with the adjusted logic"
"2022-11-02 15:53:11.355989+00","`updatedField!` isn't an actual runtime check like the pre-existing logic, so would end up loosening the safety of the current checks."
"2022-11-02 15:54:32.650468+00","Also our lint rules don't like it, either."
"2022-11-02 15:56:10.602512+00","Merge latest changes, this should not be nuked I believe"
"2022-11-02 15:56:10.889768+00","This check should still exists, please revert"
"2022-11-02 15:56:11.046837+00","Start with should and add space above each `it()"
"2022-11-02 15:56:11.344258+00","Start with should"
"2022-11-02 15:56:11.383826+00","Start with `should`   ```suggestion it('should filter for uniqueNames is true', async () => { ```"
"2022-11-02 15:56:11.479082+00","Check should still exist"
"2022-11-02 15:56:12.182404+00","Avoid unnecessary changes"
"2022-11-02 15:56:12.414217+00","Nuke limit, no section mentions that"
"2022-11-02 15:56:14.66401+00","Revert"
"2022-11-02 15:56:13.104031+00","Also add check for length of array"
"2022-11-02 15:56:14.32825+00","Not enough checks, Target specific values, if result is an array, expect length to be a specific value e.t.c"
"2022-11-02 15:56:15.221898+00","Also check length of array"
"2022-11-02 16:09:58.672208+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     SELECT         *         , LOWER(             REPLACE(                 REPLACE(                     REPLACE(REPLACE(REPLACE(REPLACE(refab_reason_category, ' ', '_'), '(', ''), ')', ''), '/', '_') , '-' , '_'                 ) , '''' , ''             )         ) AS refab_reason_category_cleaned     FROM lab_order_reason_vm_enriched ``` "
"2022-11-02 16:10:35.509302+00","can we call this previous value instead of old value?"
"2022-11-02 16:11:56.200629+00","super minor, but can we capitalized IS NULL?"
"2022-11-02 16:12:00.922491+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     SELECT         *         , LOWER(             REPLACE(                 REPLACE(                     REPLACE(REPLACE(REPLACE(REPLACE(refab_reason_category, ' ', '_'), '(', ''), ')', ''), '/', '_') , '-' , '_'                 ) , '\'' , ''             )         ) AS refab_reason_category_cleaned     FROM lab_order_reason_vm_enriched ``` "
"2022-11-02 16:12:12.585327+00","`caseNotes` shouldn't be optional. If you don't pass something in for `caseNotes` then this method doesn't do anything."
"2022-11-02 16:12:12.682469+00","Fix this comment, I'm guessing you mean to talk about the caseNotes param"
"2022-11-02 16:12:12.785473+00","Alternatively, you can remove this parameter, and instead return the string that you build at the end. Leave it up to the caller to add the caseNote string to an array."
"2022-11-02 16:12:13.731748+00","NIT: I'd rather see `caseNotes` set here. ``` caseNotes.push(buildImplantPartsCaseNotes(item)); return this.buildImplantProduct(item); ``` See my suggestion on `buildImplantPartsCaseNotes` about removing the second parameter."
"2022-11-02 16:12:14.036741+00","go home sqlfluff"
"2022-11-02 16:13:03.742481+00","let's actually make this logic something like `name.split(' ').slice(1).join(' ')`, i.e. first name should be the first word and the last name is everything else in case someone has one of those multi word last names loll"
"2022-11-02 16:13:04.061546+00","ahhh icic, update looks good, tyty!"
"2022-11-02 16:14:44.859645+00","leftover comment?"
"2022-11-02 16:20:13.711584+00","why is this change being made? This is the naming that was requested from the PLs during the original implementation and it makes no sense to create a breaking graphql change for the sake of a rename"
"2022-11-02 16:21:17.017915+00","Good catch! I was able to remove the entire caching infrastructure, which is a nice cleanup"
"2022-11-02 16:25:11.812476+00","agree with sql fluff- let's make this a coalesce"
"2022-11-02 16:26:16.532476+00","I believe we don't want to `--wait` on execute, assuming this means wait for the execution to complete"
"2022-11-02 16:26:39.702961+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     AND bizible_session.ip_address = fcpid.context_ip     AND DATE_TRUNC('minute', bizible_session.event_date) = DATE_TRUNC('minute', fcpid.timestamp)     AND COALESCE(bizible_session.referrer_page, 'NA') = COALESCE(fcpid.context_page_referrer, 'NA') ``` "
"2022-11-02 16:26:39.785841+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion LEFT OUTER JOIN fcpid ``` "
"2022-11-02 16:26:39.813708+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     SELECT * FROM {{ source('segment_marketing_website', 'fcpid') }} ``` "
"2022-11-02 16:26:53.331785+00","need to `waitForCloudRunJob` on execute here too"
"2022-11-02 16:29:00.333519+00","Instead of truncating, could we look where the difference between bizible_session.event_date and fcpid.timestamp is less than a minute? to take into account the edge case you mentioned in standup"
"2022-11-02 16:37:41.412494+00","The ProductLine definitions provided by Ops: - https://www.notion.so/orthly/Product-Line-Implementation-88c577ad632a423fbd2b92f962efa356#3880f1ad15864000b41d851901843442 - https://www.notion.so/orthly/Product-Line-Implementation-88c577ad632a423fbd2b92f962efa356#9573ca0c9a0d4f43b573fdb90fd75788 - https://www.notion.so/orthly/Product-Line-Implementation-88c577ad632a423fbd2b92f962efa356#0add70ba8fc246779b481becf6ad225f"
"2022-11-02 16:38:23.80476+00","@brianna-kincaid done :)"
"2022-11-02 16:38:27.827615+00","**[sqlfluff-fix]** <sub>reported by [reviewdog](https://github.com/reviewdog/reviewdog) :dog:</sub><br> ```suggestion     AND bizible_session.ip_address = fcpid.context_ip     AND COALESCE(bizible_session.referrer_page, 'NA') = COALESCE(fcpid.context_page_referrer, 'NA')     AND bizible_session.event_date BETWEEN DATEADD(         'second', -60, fcpid.timestamp     ) AND DATEADD('second', 60, fcpid.timestamp) ``` "
"2022-11-02 16:38:51.385676+00","thank you!"
"2022-11-02 16:39:49.071122+00","is the `<= 25` correct here?"
"2022-11-02 16:43:17.955556+00","we have https://github.com/immunefi-team/bugs/blob/898de871c73626a21baca291cbcdfdfa5ce4d1b1/components/FeatureControl.tsx to render components by feature flags"
"2022-11-02 16:46:14.332561+00","maybe a comments will help understand this changes faster"
"2022-11-02 16:51:21.527543+00","I'll add a comment for readability, the math is the same and this converges to your solution when rest = 0.5  `0.5 * (sortedConfidence[base] + sortedCandidates[base + 1])`  `sortedConfidence[base] + .5 * (sortedConfidence[base + 1] -  sortedCandidates[base])`"
"2022-11-02 16:52:56.401864+00","```suggestion         // Here we linearly interpolate between the discrete values         // found at index base and base + 1         const base = Math.floor(pos); ```"
"2022-11-02 16:53:51.371259+00","can we check that the user has 0 paid reports here `expect(user.totalPaidReports).toBe(0);` "
"2022-11-02 16:55:46.654299+00","not fan of snapshots but, can we just validate presence of things here, os should we test the design too?"
"2022-11-02 17:34:05.032486+00","Yeah me too, but last time we talked about this we agreed to use a combination of component existence and component snapshots tests. However, I believe some cases it will be difficult because a component can be affected by many feature flags, so not all the time is going to be possible to do snapshot testing."
"2022-11-02 17:47:06.577764+00","The handling of this is definitely quite bad. We can add a fixture to make this less bad in the consumer tests. The reason I didn't include that right now is there is a built in baseURL fixture that I wasn't able to figure out how to properly override. The two solutions I can imagine are to just make a different fixture for the url, or look more deeply into how to override the base one.  That still leaves open how to do this more nicely in utility functions like this one, though."
"2022-11-02 18:55:34.403339+00","It will work but I thought it looked funky with the design (the added title) & it wasn't outlined in the design spec for this use. If we do use it it'd create an extra white space between the title/queries when not showing. What do you think?"
"2022-11-02 16:56:26.352567+00","is this safe? are we going to have timeouts in stg envs when the network is slow? "
"2022-11-02 16:58:12.225382+00","can we put the url `http://localhost` on a shared constant or function that can automatically now what is the host url, this will help when we start setting up the ci"
"2022-11-02 16:58:53.941355+00","is this correct? "
"2022-11-02 17:00:11.162095+00","same, lets use a constant for host"
"2022-11-02 17:00:34.832053+00","we also dont have he port here as we have it in the previous commit"
"2022-11-02 17:00:53.309901+00","@jonathan-yee I combined the calls with `Promise.all` in a new method `loadAllMeasurementsData()`.  In the new method, there is also a logic added that applies to both data stream and physical measurements if the name matches. Can you please confirm if the logic is what we are looking for?  The idea is to combine both data streams and physical measurements data as one.  Questions:  Shall we add another type rather than combining them with physicalMeasurements type? Shall we add another flag to distinguish between data streams and physical measurements?    For example:    `type: 'physical' | data-stream`  So this way, the metrics-card can distinguish between them. "
"2022-11-02 17:01:31.710496+00","💌 "
"2022-11-02 17:18:18.321439+00","I would suggest we stick with the current names for these in order to eliminate the need for migration. the labels match what Ops is expecting, so having the underlying values differ doesn't seem to be an issue to me: ```suggestion     Aligner = 'Aligner',     HighComplexityCrownOrBridge = 'HighComplexityCrownOrBridge',     Denture = 'Denture',     Implant = 'Implant',     Other = 'Other',     PartialDenture = 'PartialDenture',     Removable = 'Removable',     SimpleCrownOrBridge = 'SimpleCrownOrBridge',     Sleep = 'Sleep',     ImplantSurgery = 'ImplantSurgery' ```"
"2022-11-02 17:19:29.235076+00","Yeah, according to the espec it is."
"2022-11-02 17:27:53.26637+00","Yes, definitely all network requests can be slow or fail sometimes. In this case, the wait is to prevent taking a screenshot when not all icons have been fully loaded."
"2022-11-02 17:28:11.801127+00","I have not looked as to why we would need another method to wrap these two calls, so there may be a need for it. However, the idea I had in mind for this comment was more along the lines of something like this:  ```ts const [ metricsData, physicalMeasurements ] = await Promise.all([     this.loadMetricsData(),     this.loadPhysicalMeasurements(), ]);  const { dataTypeStats, metrics, stationStats, topIssues, totalMetrics } = metricsData; ```"
"2022-11-02 17:29:45.583882+00","This parse int could result in NaN, should we handle this?"
"2022-11-02 17:31:55.256447+00","The measurement name can be an empty string (though I do have a thought that maybe we shouldn't show those on the Metrics page), but an Automeasure monitor cannot (and should not) be created for a measurement with an empty name string. Therefore, it should never be the case that an Automeasure monitor should come back with an empty string for a name."
"2022-11-02 17:38:23.964797+00","Yeah this is definitely noise. I don't have an opinion about how to handle this."
"2022-11-02 17:39:54.638901+00","Yes, only necessary to run on the client."
"2022-11-03 11:59:18.7783+00","Good callout! For this PR I think it's fine to be dynamic (check if we need to do any work within `cleanup`). Once we have https://github.com/sourcegraph/customer/issues/1427 implemented, then the presence of the env var can be used as an indicator/toggle. WDYT?"
"2022-11-02 17:37:26.654803+00","I think you're right that checking the URL here isn't necessary if Abort Errors are handled earlier up the stack. "
"2022-11-02 17:45:52.324048+00","@jonathan-yee  I combined the calls to apply the logic to filter out the measurements with the same name. This is not what we are looking for? "
"2022-11-02 17:47:03.950944+00","Sounds good. I change it to return a string."
"2022-11-02 17:47:12.624275+00","Good catch. Thanks."
"2022-11-02 17:48:22.923227+00","This wrapping method is to get this logic. ""if physical measurements and Data streams metrics have the same name, pick the one with more measurements "" Perhaps, we were looking for more simplified ways to apply this?"
"2022-11-02 17:49:51.71658+00","🤔 , I don't believe this can add any value to the test, because the user is created every time and the default value for `totalPaidReports` is `0`. If for some reason the initial `totalPaidReports` is not `0` then the rest of the tests would fail because we are checking whitehat level in an incremental fashion."
